#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-29T22:56:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cc604a26b63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/19&tab:{V/19/data}&key:source=V/19/data&HTTPPRM:&&-ref=VIZ5cc604a26b63&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=Cl&-out=N&-out=ID&-out=B-V&-out=Vmag&-out=LC&-out=log.Teff&-out=logL&-out=Age&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=V/19/data
#-order=I
#-out=log.Teff
#-out=logL
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	log.Teff	(F6.3)	Logarithm of effective temperature	[ucd=phys.temperature.effective]
#Column	logL	(F5.2)	Logarithm of luminosity	[ucd=phys.luminosity]
log.Teff;logL
 3.764; 0.42
 3.752; 0.43
 3.752; 0.43
 3.795; 0.40
 3.773; 0.41
 3.773; 0.41
 3.773; 0.41
 3.761; 0.42
 3.766; 0.41
 3.764; 0.41
 3.748; 0.42
 3.777; 0.39
 3.777; 0.39
 3.777; 0.39
 3.757; 0.40
 3.757; 0.40
 3.761; 0.39
 3.766; 0.39
 3.800; 0.37
 3.777; 0.38
 3.777; 0.38
 3.777; 0.38
 3.775; 0.37
 3.775; 0.37
 3.775; 0.37
 3.773; 0.37
 3.773; 0.37
 3.773; 0.37
 3.773; 0.37
 3.773; 0.37
 3.773; 0.37
 3.759; 0.38
 3.806; 0.35
 3.766; 0.37
 3.766; 0.37
 3.766; 0.37
 3.761; 0.37
 3.770; 0.36
 3.770; 0.36
 3.770; 0.36
 3.755; 0.37
 3.766; 0.36
 3.766; 0.36
 3.766; 0.36
 3.739; 0.39
 3.803; 0.34
 3.798; 0.34
 3.764; 0.36
 3.764; 0.36
 3.764; 0.36
 3.768; 0.35
 3.768; 0.35
 3.768; 0.35
 3.716; 0.41
 3.768; 0.34
 3.768; 0.34
 3.768; 0.34
 3.766; 0.34
 3.766; 0.34
 3.766; 0.34
 3.793; 0.32
 3.777; 0.33
 3.770; 0.33
 3.770; 0.33
 3.770; 0.33
 3.793; 0.31
 3.786; 0.31
 3.777; 0.32
 3.764; 0.32
 3.764; 0.32
 3.764; 0.32
 3.768; 0.32
 3.768; 0.32
 3.768; 0.32
 3.803; 0.29
 3.773; 0.31
 3.780; 0.30
 3.761; 0.31
 3.761; 0.31
 3.761; 0.31
 3.831; 0.27
 3.786; 0.28
 3.795; 0.28
 3.791; 0.27
 3.806; 0.26
 3.739; 0.29
 3.768; 0.27
 3.770; 0.25
 3.770; 0.24
 3.780; 0.24
 3.766; 0.23
 3.766; 0.22
 3.963; 0.24
 3.782; 0.19
 3.766; 0.20
 3.850; 0.13
 4.300; 4.41
 4.267; 4.16
 4.300; 4.23
 4.283; 4.07
 4.325; 4.00
 4.325; 4.00
 4.325; 4.00
 4.267; 3.77
 4.300; 3.76
 4.300; 3.76
 4.300; 3.76
 4.250; 3.60
 4.267; 3.58
 4.267; 3.58
 4.267; 3.58
 4.267; 3.57
 4.267; 3.57
 4.267; 3.57
 4.238; 3.47
 4.238; 3.47
 4.238; 3.47
 4.350; 3.74
 4.267; 3.40
 4.283; 3.42
 4.250; 3.32
 4.225; 3.24
 4.225; 3.24
 4.225; 3.24
 4.250; 3.25
 4.250; 3.24
 4.238; 3.20
 4.250; 3.17
 4.250; 3.15
 4.250; 3.15
 4.250; 3.12
 4.200; 3.00
 4.183; 2.91
 4.225; 3.01
 4.200; 2.93
 4.225; 2.96
 4.212; 2.87
 4.212; 2.86
 4.200; 2.80
 4.150; 2.64
 4.183; 2.72
 4.200; 2.74
 4.212; 2.73
 4.200; 2.67
 4.133; 2.51
 4.133; 2.51
 4.212; 2.66
 4.133; 2.46
 4.117; 2.40
 4.167; 2.51
 4.150; 2.45
 4.117; 2.33
 4.167; 2.45
 4.200; 2.51
 4.075; 2.22
 4.167; 2.39
 4.087; 2.21
 4.150; 2.32
 4.133; 2.26
 4.133; 2.24
 4.117; 2.17
 4.117; 2.16
 4.050; 1.95
 4.117; 2.08
 4.075; 1.96
 4.075; 1.93
 4.075; 1.88
 4.087; 1.88
 4.062; 1.82
 4.075; 1.84
 4.167; 2.03
 4.062; 1.76
 4.050; 1.73
 4.062; 1.74
 4.040; 1.68
 4.062; 1.70
 4.050; 1.66
 4.050; 1.56
 3.503; 2.87
 3.688; 1.67
 3.582; 1.89
 3.914; 1.37
 3.914; 1.37
 3.914; 1.37
 3.688; 1.39
 3.905; 1.25
 3.905; 1.25
 3.905; 1.25
 3.690; 1.36
 3.969; 1.23
 3.900; 1.16
 3.700; 1.26
 3.837; 1.15
 3.664; 1.33
 3.664; 1.33
 3.664; 1.33
 3.712; 1.21
 3.682; 1.26
 3.694; 1.23
 3.664; 1.25
 3.664; 1.25
 3.664; 1.25
 3.896; 1.06
 3.873; 1.05
 3.873; 1.05
 3.873; 1.05
 3.664; 1.20
 3.664; 1.20
 3.664; 1.20
 3.642; 1.26
 3.680; 1.16
 3.881; 1.00
 3.621; 1.32
 3.690; 1.11
 3.678; 1.12
 3.892; 0.93
 3.682; 1.06
 3.873; 0.91
 3.837; 0.87
 3.837; 0.87
 3.837; 0.87
 3.873; 0.86
 3.819; 0.85
 3.918; 0.87
 3.831; 0.83
 3.831; 0.83
 3.831; 0.83
 3.806; 0.84
 3.862; 0.81
 3.862; 0.80
 3.831; 0.80
 3.831; 0.80
 3.831; 0.80
 3.847; 0.80
 3.877; 0.80
 3.892; 0.75
 3.869; 0.73
 3.822; 0.73
 3.822; 0.73
 3.822; 0.73
 3.789; 0.72
 3.775; 0.73
 3.795; 0.71
 3.865; 0.70
 3.850; 0.69
 3.770; 0.70
 3.828; 0.68
 3.768; 0.70
 3.858; 0.66
 3.782; 0.69
 3.806; 0.67
 3.806; 0.67
 3.806; 0.67
 3.766; 0.66
 3.800; 0.64
 3.800; 0.64
 3.800; 0.64
 3.825; 0.63
 3.847; 0.61
 3.775; 0.63
 3.806; 0.61
 3.806; 0.61
 3.806; 0.61
 3.780; 0.62
 3.752; 0.63
 3.768; 0.61
 3.795; 0.59
 3.795; 0.59
 3.795; 0.59
 3.764; 0.61
 3.791; 0.59
 3.757; 0.61
 3.723; 0.64
 3.764; 0.60
 3.752; 0.60
 3.768; 0.59
 3.773; 0.58
 3.741; 0.59
 3.727; 0.61
 3.755; 0.56
 3.745; 0.57
 3.761; 0.55
 3.777; 0.54
 3.777; 0.53
 3.741; 0.55
 3.757; 0.52
 3.727; 0.55
 4.212; 3.59
 4.250; 3.58
 3.616; 3.29
 3.616; 3.29
 3.616; 3.29
 4.267; 3.45
 4.225; 3.30
 4.225; 3.30
 4.225; 3.30
 4.267; 3.24
 4.225; 3.09
 4.150; 2.89
 4.150; 2.89
 4.150; 2.89
 4.200; 3.00
 4.167; 2.78
 4.200; 2.78
 4.062; 2.42
 4.117; 2.47
 4.050; 2.33
 4.133; 2.42
 4.117; 2.37
 4.117; 2.28
 4.062; 2.10
 4.117; 2.21
 4.087; 2.13
 4.117; 2.16
 4.100; 2.08
 4.075; 2.02
 4.100; 2.06
 4.050; 1.94
 4.040; 1.92
 4.087; 1.96
 4.087; 1.96
 4.062; 1.90
 4.050; 1.83
 4.030; 1.78
 4.040; 1.76
 4.000; 1.67
 4.040; 1.71
 3.694; 1.62
 3.727; 1.56
 3.740; 1.52
 3.688; 1.59
 3.813; 1.42
 3.704; 1.46
 3.690; 1.47
 3.704; 1.39
 3.699; 1.35
 3.969; 1.24
 3.800; 1.16
 3.823; 1.12
 3.806; 1.11
 3.813; 1.10
 3.831; 1.06
 3.806; 1.07
 3.811; 1.06
 3.819; 1.04
 3.822; 1.03
 3.806; 1.01
 3.816; 1.01
 3.833; 1.00
 3.819; 0.98
 3.822; 0.98
 3.822; 0.97
 3.834; 0.92
 3.822; 0.91
 3.822; 0.91
 3.825; 0.88
 3.841; 0.86
 3.841; 0.86
 3.841; 0.86
 3.819; 0.81
 3.816; 0.72
 3.816; 0.72
 3.816; 0.72
 3.834; 0.71
 3.831; 0.69
 3.825; 0.61
 3.813; 0.60
 3.816; 0.60
 3.822; 0.57
 3.819; 0.53
 3.803; 0.51
 3.816; 0.43
 3.803; 0.38
 3.809; 0.38
 3.822; 0.19
 3.775; 0.18
 4.079; 2.50
 4.062; 2.34
 4.082; 2.35
 4.065; 2.26
 4.065; 2.26
 4.065; 2.26
 4.019; 2.18
 4.040; 2.19
 4.074; 2.25
 4.010; 2.04
 4.042; 2.06
 4.100; 2.16
 4.074; 2.07
 4.017; 1.85
 4.021; 1.85
 4.010; 1.73
 4.036; 1.74
 3.941; 1.58
 3.983; 1.56
 3.971; 1.53
 3.972; 1.50
 3.975; 1.44
 3.959; 1.38
 3.954; 1.37
 3.960; 1.36
 3.927; 1.28
 3.927; 1.28
 3.944; 1.29
 3.928; 1.26
 3.894; 1.14
 3.896; 1.07
 3.947; 1.10
 3.847; 1.00
 3.868; 0.96
 3.865; 0.95
 3.865; 0.85
 3.854; 0.85
 3.842; 0.85
 3.842; 0.85
 3.842; 0.85
 3.862; 0.85
 3.862; 0.83
 3.893; 0.73
 3.825; 0.66
 3.825; 0.66
 3.778; 0.58
 4.375; 4.70
 4.010; 3.52
 3.645; 3.15
 3.645; 3.15
 3.645; 3.15
 3.759; 2.86
 3.759; 2.86
 3.759; 2.86
 3.477; 3.79
 3.642; 2.81
 3.642; 2.81
 3.642; 2.81
 3.905; 2.52
 3.819; 2.47
 3.900; 2.33
 3.905; 2.33
 3.642; 2.54
 3.642; 2.54
 3.642; 2.54
 3.658; 2.48
 3.658; 2.48
 3.658; 2.48
 3.713; 2.36
 3.713; 2.36
 3.713; 2.36
 3.854; 2.28
 3.918; 2.27
 3.428; 3.75
 3.678; 2.37
 3.678; 2.37
 3.678; 2.37
 3.602; 2.56
 3.759; 2.17
 3.831; 2.13
 3.932; 2.13
 3.776; 2.09
 3.708; 2.12
 3.708; 2.12
 3.708; 2.12
 3.752; 2.06
 3.752; 2.06
 3.615; 2.34
 3.615; 2.34
 3.615; 2.34
 3.847; 1.97
 3.670; 2.14
 3.670; 2.14
 3.670; 2.14
 3.668; 2.10
 3.668; 2.10
 3.668; 2.10
 3.927; 1.94
 3.642; 2.15
 3.642; 2.15
 3.642; 2.15
 3.735; 1.96
 4.062; 2.05
 3.873; 1.84
 3.680; 1.96
 3.680; 1.96
 3.680; 1.96
 3.694; 1.90
 3.763; 1.76
 3.742; 1.77
 3.945; 1.75
 3.654; 1.92
 3.654; 1.92
 3.654; 1.92
 3.719; 1.77
 3.782; 1.71
 3.715; 1.73
 3.862; 1.64
 3.680; 1.78
 3.682; 1.77
 3.780; 1.64
 3.822; 1.62
 3.715; 1.68
 3.776; 1.62
 3.674; 1.75
 3.668; 1.76
 3.710; 1.67
 3.712; 1.66
 3.778; 1.59
 3.682; 1.68
 3.862; 1.53
 3.784; 1.54
 3.684; 1.66
 3.760; 1.55
 3.698; 1.61
 3.877; 1.50
 3.784; 1.52
 3.869; 1.50
 3.717; 1.57
 3.914; 1.51
 3.698; 1.60
 3.885; 1.48
 3.721; 1.55
 3.746; 1.52
 3.905; 1.48
 3.721; 1.55
 3.717; 1.55
 3.712; 1.55
 3.725; 1.52
 3.746; 1.49
 3.746; 1.49
 3.712; 1.54
 3.738; 1.49
 3.858; 1.43
 3.798; 1.44
 3.715; 1.50
 3.735; 1.48
 3.717; 1.50
 3.721; 1.48
 3.680; 1.55
 3.729; 1.47
 3.717; 1.48
 3.717; 1.48
 3.747; 1.43
 3.698; 1.50
 3.721; 1.46
 3.831; 1.38
 3.791; 1.39
 3.873; 1.38
 3.909; 1.37
 3.723; 1.43
 3.896; 1.36
 3.717; 1.43
 3.837; 1.35
 3.727; 1.42
 3.725; 1.42
 3.877; 1.34
 3.680; 1.48
 3.850; 1.33
 3.858; 1.33
 3.698; 1.44
 3.708; 1.42
 3.690; 1.44
 3.713; 1.40
 3.766; 1.34
 3.803; 1.32
 3.888; 1.31
 3.704; 1.41
 3.747; 1.34
 3.914; 1.31
 3.914; 1.31
 3.914; 1.31
 3.729; 1.36
 3.819; 1.30
 3.877; 1.29
 3.888; 1.29
 3.927; 1.31
 3.881; 1.28
 3.793; 1.30
 3.834; 1.28
 3.682; 1.43
 3.841; 1.28
 3.704; 1.38
 3.706; 1.38
 3.873; 1.28
 3.727; 1.35
 3.862; 1.27
 3.717; 1.35
 3.825; 1.27
 3.734; 1.32
 3.828; 1.26
 3.881; 1.25
 3.727; 1.32
 3.905; 1.25
 3.905; 1.25
 3.905; 1.25
 3.800; 1.26
 3.905; 1.25
 3.905; 1.25
 3.905; 1.25
 3.708; 1.33
 3.760; 1.27
 3.688; 1.36
 3.719; 1.31
 3.841; 1.23
 3.822; 1.23
 3.888; 1.23
 3.888; 1.23
 3.888; 1.23
 3.715; 1.31
 3.862; 1.21
 3.909; 1.22
 3.696; 1.32
 3.869; 1.21
 3.764; 1.24
 3.914; 1.22
 3.854; 1.20
 3.873; 1.20
 3.892; 1.20
 3.892; 1.20
 3.892; 1.20
 3.885; 1.20
 3.885; 1.20
 3.885; 1.20
 3.877; 1.20
 3.896; 1.20
 3.896; 1.20
 3.896; 1.20
 3.877; 1.20
 3.710; 1.29
 3.777; 1.21
 3.751; 1.23
 3.755; 1.22
 3.822; 1.18
 3.784; 1.20
 3.806; 1.18
 3.831; 1.17
 3.784; 1.19
 3.800; 1.18
 3.932; 1.19
 3.888; 1.16
 3.888; 1.16
 3.888; 1.16
 3.837; 1.15
 3.869; 1.14
 3.858; 1.13
 3.888; 1.14
 3.888; 1.14
 3.888; 1.14
 3.881; 1.14
 3.881; 1.14
 3.881; 1.14
 3.708; 1.23
 3.923; 1.15
 3.900; 1.13
 3.923; 1.15
 3.932; 1.15
 3.747; 1.16
 3.865; 1.11
 3.869; 1.12
 3.784; 1.13
 3.777; 1.13
 3.809; 1.11
 3.782; 1.13
 3.963; 1.16
 3.828; 1.10
 3.900; 1.10
 3.877; 1.09
 3.877; 1.09
 3.877; 1.09
 3.764; 1.12
 3.809; 1.09
 3.900; 1.08
 3.950; 1.12
 3.822; 1.08
 3.969; 1.14
 3.850; 1.07
 3.738; 1.13
 3.927; 1.09
 3.885; 1.07
 3.795; 1.07
 3.786; 1.08
 3.770; 1.08
 3.731; 1.12
 3.854; 1.04
 3.885; 1.04
 3.831; 1.04
 3.822; 1.04
 3.885; 1.03
 3.834; 1.02
 3.789; 1.03
 3.831; 1.01
 3.881; 1.01
 3.800; 1.02
 3.885; 0.99
 3.837; 0.98
 3.828; 0.98
 3.768; 1.00
 3.909; 0.98
 3.896; 0.98
 3.770; 1.00
 3.905; 0.97
 3.905; 0.97
 3.841; 0.96
 3.858; 0.96
 3.858; 0.96
 3.858; 0.96
 3.858; 0.96
 3.858; 0.96
 3.858; 0.96
 3.914; 0.97
 3.873; 0.95
 3.755; 0.99
 3.791; 0.96
 3.816; 0.95
 3.798; 0.95
 3.900; 0.94
 3.770; 0.96
 3.834; 0.93
 3.825; 0.92
 3.825; 0.92
 3.865; 0.92
 3.869; 0.92
 3.825; 0.92
 3.862; 0.91
 3.881; 0.91
 3.900; 0.92
 3.877; 0.91
 3.831; 0.91
 3.873; 0.90
 3.873; 0.90
 3.854; 0.90
 3.780; 0.92
 3.825; 0.90
 3.813; 0.90
 3.914; 0.90
 3.862; 0.89
 3.837; 0.89
 3.837; 0.89
 3.837; 0.89
 3.892; 0.89
 3.780; 0.91
 3.956; 0.92
 3.854; 0.87
 3.844; 0.87
 3.844; 0.87
 3.844; 0.87
 3.806; 0.89
 3.862; 0.87
 3.877; 0.87
 3.798; 0.88
 3.739; 0.92
 3.786; 0.88
 3.761; 0.89
 3.881; 0.85
 3.896; 0.86
 3.834; 0.85
 3.834; 0.85
 3.834; 0.85
 3.877; 0.84
 3.780; 0.86
 3.896; 0.84
 3.873; 0.82
 3.791; 0.83
 3.877; 0.82
 3.881; 0.81
 3.773; 0.84
 3.858; 0.80
 3.850; 0.80
 3.854; 0.80
 3.914; 0.81
 3.865; 0.79
 3.854; 0.79
 3.865; 0.79
 3.877; 0.78
 3.869; 0.78
 3.877; 0.77
 3.850; 0.76
 3.881; 0.76
 3.789; 0.77
 3.831; 0.75
 3.741; 0.80
 3.806; 0.76
 3.809; 0.75
 3.885; 0.74
 3.854; 0.74
 3.782; 0.75
 3.862; 0.73
 3.869; 0.73
 3.850; 0.72
 3.761; 0.75
 3.768; 0.75
 3.759; 0.75
 3.768; 0.75
 3.888; 0.72
 3.869; 0.71
 3.888; 0.71
 3.782; 0.73
 3.770; 0.74
 3.844; 0.71
 3.885; 0.71
 3.837; 0.70
 3.854; 0.70
 3.847; 0.70
 3.858; 0.70
 3.813; 0.71
 3.813; 0.71
 3.813; 0.71
 3.786; 0.72
 3.791; 0.71
 3.791; 0.71
 3.844; 0.69
 3.825; 0.70
 3.809; 0.70
 3.809; 0.70
 3.809; 0.70
 3.803; 0.70
 3.905; 0.70
 3.784; 0.71
 3.936; 0.72
 3.819; 0.69
 3.819; 0.69
 3.819; 0.69
 3.877; 0.68
 3.777; 0.71
 3.877; 0.68
 3.854; 0.68
 3.822; 0.69
 3.847; 0.68
 3.865; 0.68
 3.806; 0.69
 3.806; 0.69
 3.806; 0.69
 3.734; 0.74
 3.881; 0.67
 3.873; 0.67
 3.834; 0.67
 3.739; 0.73
 3.791; 0.69
 3.806; 0.67
 3.806; 0.67
 3.806; 0.67
 3.828; 0.67
 3.841; 0.66
 3.885; 0.66
 3.844; 0.65
 3.816; 0.66
 3.816; 0.66
 3.816; 0.66
 3.816; 0.66
 3.816; 0.66
 3.816; 0.66
 3.803; 0.66
 3.803; 0.66
 3.803; 0.66
 3.909; 0.66
 3.862; 0.65
 3.881; 0.65
 3.847; 0.65
 3.847; 0.64
 3.873; 0.64
 3.793; 0.66
 3.841; 0.64
 3.850; 0.63
 3.869; 0.64
 3.862; 0.63
 3.865; 0.63
 3.865; 0.63
 3.759; 0.66
 3.869; 0.63
 3.847; 0.62
 3.862; 0.62
 3.789; 0.64
 3.881; 0.62
 3.768; 0.65
 3.766; 0.65
 3.854; 0.61
 3.784; 0.63
 3.873; 0.60
 3.752; 0.64
 3.784; 0.62
 3.761; 0.64
 3.877; 0.60
 3.761; 0.63
 3.862; 0.60
 3.837; 0.60
 3.791; 0.62
 3.780; 0.62
 3.834; 0.60
 3.822; 0.60
 3.761; 0.63
 3.768; 0.62
 3.831; 0.59
 3.828; 0.59
 3.806; 0.60
 3.806; 0.60
 3.806; 0.60
 3.834; 0.58
 3.795; 0.59
 3.795; 0.59
 3.795; 0.59
 3.806; 0.59
 3.806; 0.59
 3.806; 0.59
 3.825; 0.58
 3.775; 0.60
 3.759; 0.60
 3.828; 0.57
 3.822; 0.57
 3.750; 0.60
 3.793; 0.57
 3.793; 0.57
 3.793; 0.57
 3.775; 0.58
 3.822; 0.56
 3.800; 0.56
 3.800; 0.56
 3.800; 0.56
 3.854; 0.54
 3.822; 0.55
 3.809; 0.55
 3.791; 0.55
 3.791; 0.55
 3.791; 0.55
 3.745; 0.58
 3.784; 0.55
 3.803; 0.54
 3.789; 0.55
 3.789; 0.55
 3.789; 0.55
 3.789; 0.55
 3.789; 0.55
 3.789; 0.55
 3.850; 0.52
 3.881; 0.53
 3.809; 0.54
 3.780; 0.55
 3.825; 0.53
 3.813; 0.53
 3.732; 0.59
 3.850; 0.52
 3.819; 0.52
 3.743; 0.56
 3.837; 0.50
 3.789; 0.52
 3.789; 0.52
 3.789; 0.52
 3.819; 0.51
 3.750; 0.54
 3.844; 0.50
 3.803; 0.51
 3.834; 0.50
 3.819; 0.50
 3.806; 0.50
 3.819; 0.50
 3.809; 0.50
 3.865; 0.49
 3.834; 0.49
 3.834; 0.49
 3.773; 0.51
 3.759; 0.52
 3.819; 0.49
 3.844; 0.48
 3.828; 0.48
 3.748; 0.52
 3.759; 0.51
 3.759; 0.51
 3.850; 0.47
 3.750; 0.51
 3.822; 0.48
 3.834; 0.47
 3.865; 0.47
 3.793; 0.48
 3.793; 0.48
 3.793; 0.48
 3.885; 0.47
 3.752; 0.51
 3.862; 0.46
 3.777; 0.49
 3.831; 0.46
 3.789; 0.47
 3.789; 0.47
 3.789; 0.47
 3.795; 0.47
 3.777; 0.48
 3.841; 0.45
 3.768; 0.48
 3.777; 0.48
 3.841; 0.45
 3.795; 0.47
 3.809; 0.46
 3.803; 0.46
 3.816; 0.45
 3.858; 0.45
 3.739; 0.50
 3.828; 0.45
 3.782; 0.47
 3.782; 0.47
 3.782; 0.47
 3.727; 0.52
 3.854; 0.44
 3.793; 0.46
 3.795; 0.46
 3.775; 0.47
 3.793; 0.46
 3.813; 0.45
 3.825; 0.44
 3.720; 0.52
 3.793; 0.45
 3.780; 0.46
 3.780; 0.46
 3.780; 0.46
 3.793; 0.45
 3.822; 0.44
 3.822; 0.43
 3.834; 0.43
 3.822; 0.43
 3.773; 0.46
 3.819; 0.43
 3.850; 0.42
 3.770; 0.45
 3.764; 0.46
 3.755; 0.46
 3.795; 0.43
 3.789; 0.44
 3.816; 0.43
 3.757; 0.46
 3.795; 0.43
 3.764; 0.45
 3.780; 0.44
 3.780; 0.44
 3.780; 0.44
 3.789; 0.43
 3.795; 0.43
 3.844; 0.41
 3.791; 0.43
 3.847; 0.41
 3.782; 0.43
 3.782; 0.43
 3.782; 0.43
 3.791; 0.43
 3.768; 0.44
 3.761; 0.45
 3.789; 0.43
 3.766; 0.44
 3.768; 0.44
 3.782; 0.43
 3.782; 0.43
 3.782; 0.43
 3.777; 0.43
 3.777; 0.43
 3.777; 0.43
 3.800; 0.42
 3.775; 0.43
 3.775; 0.43
 3.775; 0.43
 3.798; 0.42
 3.813; 0.41
 3.777; 0.43
 3.777; 0.43
 3.777; 0.43
 3.854; 0.40
 3.834; 0.40
 3.784; 0.42
 3.784; 0.42
